TRACK,LABEL,METHOD,CURVE
1,feature.Area.og1.CWHvm_DR_HW_M,,0
1,feature.Area.og1.total,,0
1,feature.Area.og2.CWHvm_DR_HW_M,,1
1,feature.Area.og2.total,,1
1,feature.Area.unmanaged,,2
1,feature.Height.unmanaged.CWHvm_DR_HW_M,,3
1,feature.QMD.unmanaged.CWHvm_DR_HW_M,,4
1,feature.Seral.CWHvm_DR_HW_M.immature,,5
1,feature.Seral.CWHvm_DR_HW_M.mature,,6
1,feature.Seral.CWHvm_DR_HW_M.overmature,,7
1,feature.Seral.CWHvm_DR_HW_M.regenerating,,8
1,feature.Seral.CWHvm_DR_HW_M.young,,9
1,feature.Seral.immature,,5
1,feature.Seral.mature,,6
1,feature.Seral.overmature,,7
1,feature.Seral.regenerating,,8
1,feature.Seral.young,,9
1,feature.SpeciesProp.unmanaged.CW,,10
1,feature.SpeciesProp.unmanaged.DR,,11
1,feature.SpeciesProp.unmanaged.FDC,,12
1,feature.SpeciesProp.unmanaged.HW,,13
1,feature.SpeciesProp.unmanaged.SS,,14
1,feature.StemsPerHa.unmanaged.CWHvm_DR_HW_M,,15
1,feature.Yield.unmanaged.CW,,16
1,feature.Yield.unmanaged.DR,,17
1,feature.Yield.unmanaged.FDC,,18
1,feature.Yield.unmanaged.HW,,19
1,feature.Yield.unmanaged.SS,,20
1,feature.Yield.unmanaged.Total,,21
2,feature.Area.managed,,22
2,feature.Area.og1.CWHvm_DR_HW_M,,23
2,feature.Area.og1.total,,23
2,feature.Area.og2.CWHvm_DR_HW_M,,24
2,feature.Area.og2.total,,24
2,feature.Height.managed.CWHvm_DR_HW_M,,25
2,feature.QMD.managed.CWHvm_DR_HW_M,,26
2,feature.Seral.CWHvm_DR_HW_M.immature,,27
2,feature.Seral.CWHvm_DR_HW_M.mature,,28
2,feature.Seral.CWHvm_DR_HW_M.overmature,,29
2,feature.Seral.CWHvm_DR_HW_M.regenerating,,30
2,feature.Seral.CWHvm_DR_HW_M.young,,31
2,feature.Seral.immature,,27
2,feature.Seral.mature,,28
2,feature.Seral.overmature,,29
2,feature.Seral.regenerating,,30
2,feature.Seral.young,,31
2,feature.SpeciesProp.managed.CW,,32
2,feature.SpeciesProp.managed.DR,,33
2,feature.SpeciesProp.managed.FDC,,34
2,feature.SpeciesProp.managed.HW,,35
2,feature.SpeciesProp.managed.SS,,36
2,feature.StemsPerHa.managed.CWHvm_DR_HW_M,,37
2,feature.Yield.managed.CW,,38
2,feature.Yield.managed.DR,,39
2,feature.Yield.managed.FDC,,40
2,feature.Yield.managed.HW,,41
2,feature.Yield.managed.SS,,42
2,feature.Yield.managed.Total,,43
3,feature.Area.og1.CWHvm_FDC_HW_H,,115
3,feature.Area.og1.total,,115
3,feature.Area.og2.CWHvm_FDC_HW_H,,24
3,feature.Area.og2.total,,24
3,feature.Area.unmanaged,,22
3,feature.Height.unmanaged.CWHvm_FDC_HW_H,,116
3,feature.QMD.unmanaged.CWHvm_FDC_HW_H,,117
3,feature.Seral.CWHvm_FDC_HW_H.immature,,118
3,feature.Seral.CWHvm_FDC_HW_H.mature,,119
3,feature.Seral.CWHvm_FDC_HW_H.overmature,,120
3,feature.Seral.CWHvm_FDC_HW_H.regenerating,,30
3,feature.Seral.CWHvm_FDC_HW_H.young,,31
3,feature.Seral.immature,,118
3,feature.Seral.mature,,119
3,feature.Seral.overmature,,120
3,feature.Seral.regenerating,,30
3,feature.Seral.young,,31
3,feature.SpeciesProp.unmanaged.BA,,121
3,feature.SpeciesProp.unmanaged.CW,,122
3,feature.SpeciesProp.unmanaged.DR,,123
3,feature.SpeciesProp.unmanaged.FDC,,124
3,feature.SpeciesProp.unmanaged.HW,,125
3,feature.SpeciesProp.unmanaged.PL,,126
3,feature.SpeciesProp.unmanaged.SS,,126
3,feature.StemsPerHa.unmanaged.CWHvm_FDC_HW_H,,127
3,feature.Yield.unmanaged.BA,,128
3,feature.Yield.unmanaged.CW,,129
3,feature.Yield.unmanaged.DR,,130
3,feature.Yield.unmanaged.FDC,,131
3,feature.Yield.unmanaged.HW,,132
3,feature.Yield.unmanaged.PL,,133
3,feature.Yield.unmanaged.SS,,133
3,feature.Yield.unmanaged.Total,,134
4,feature.Area.managed,,22
4,feature.Area.og1.CWHvm_FDC_HW_H,,115
4,feature.Area.og1.total,,115
4,feature.Area.og2.CWHvm_FDC_HW_H,,24
4,feature.Area.og2.total,,24
4,feature.Height.managed.CWHvm_FDC_HW_H,,135
4,feature.QMD.managed.CWHvm_FDC_HW_H,,136
4,feature.Seral.CWHvm_FDC_HW_H.immature,,118
4,feature.Seral.CWHvm_FDC_HW_H.mature,,119
4,feature.Seral.CWHvm_FDC_HW_H.overmature,,120
4,feature.Seral.CWHvm_FDC_HW_H.regenerating,,30
4,feature.Seral.CWHvm_FDC_HW_H.young,,31
4,feature.Seral.immature,,118
4,feature.Seral.mature,,119
4,feature.Seral.overmature,,120
4,feature.Seral.regenerating,,30
4,feature.Seral.young,,31
4,feature.SpeciesProp.managed.BA,,121
4,feature.SpeciesProp.managed.CW,,122
4,feature.SpeciesProp.managed.DR,,137
4,feature.SpeciesProp.managed.FDC,,138
4,feature.SpeciesProp.managed.HW,,125
4,feature.SpeciesProp.managed.PL,,139
4,feature.SpeciesProp.managed.SS,,139
4,feature.StemsPerHa.managed.CWHvm_FDC_HW_H,,140
4,feature.Yield.managed.BA,,141
4,feature.Yield.managed.CW,,142
4,feature.Yield.managed.DR,,143
4,feature.Yield.managed.FDC,,144
4,feature.Yield.managed.HW,,145
4,feature.Yield.managed.PL,,146
4,feature.Yield.managed.SS,,146
4,feature.Yield.managed.Total,,147
5,feature.Area.og1.CWHvm_HW_CW_M,,231
5,feature.Area.og1.total,,231
5,feature.Area.og2.CWHvm_HW_CW_M,,24
5,feature.Area.og2.total,,24
5,feature.Area.unmanaged,,22
5,feature.Height.unmanaged.CWHvm_HW_CW_M,,232
5,feature.QMD.unmanaged.CWHvm_HW_CW_M,,233
5,feature.Seral.CWHvm_HW_CW_M.immature,,234
5,feature.Seral.CWHvm_HW_CW_M.mature,,235
5,feature.Seral.CWHvm_HW_CW_M.overmature,,236
5,feature.Seral.CWHvm_HW_CW_M.regenerating,,30
5,feature.Seral.CWHvm_HW_CW_M.young,,31
5,feature.Seral.immature,,234
5,feature.Seral.mature,,235
5,feature.Seral.overmature,,236
5,feature.Seral.regenerating,,30
5,feature.Seral.young,,31
5,feature.SpeciesProp.unmanaged.BA,,237
5,feature.SpeciesProp.unmanaged.CW,,238
5,feature.SpeciesProp.unmanaged.DR,,239
5,feature.SpeciesProp.unmanaged.FDC,,240
5,feature.SpeciesProp.unmanaged.HW,,241
5,feature.SpeciesProp.unmanaged.PLC,,242
5,feature.SpeciesProp.unmanaged.SS,,243
5,feature.SpeciesProp.unmanaged.YC,,244
5,feature.StemsPerHa.unmanaged.CWHvm_HW_CW_M,,245
5,feature.Yield.unmanaged.BA,,246
5,feature.Yield.unmanaged.CW,,247
5,feature.Yield.unmanaged.DR,,248
5,feature.Yield.unmanaged.FDC,,249
5,feature.Yield.unmanaged.HW,,250
5,feature.Yield.unmanaged.PLC,,251
5,feature.Yield.unmanaged.SS,,252
5,feature.Yield.unmanaged.Total,,253
5,feature.Yield.unmanaged.YC,,254
6,feature.Area.managed,,22
6,feature.Area.og1.CWHvm_HW_CW_M,,231
6,feature.Area.og1.total,,231
6,feature.Area.og2.CWHvm_HW_CW_M,,24
6,feature.Area.og2.total,,24
6,feature.Height.managed.CWHvm_HW_CW_M,,255
6,feature.QMD.managed.CWHvm_HW_CW_M,,256
6,feature.Seral.CWHvm_HW_CW_M.immature,,234
6,feature.Seral.CWHvm_HW_CW_M.mature,,235
6,feature.Seral.CWHvm_HW_CW_M.overmature,,236
6,feature.Seral.CWHvm_HW_CW_M.regenerating,,30
6,feature.Seral.CWHvm_HW_CW_M.young,,31
6,feature.Seral.immature,,234
6,feature.Seral.mature,,235
6,feature.Seral.overmature,,236
6,feature.Seral.regenerating,,30
6,feature.Seral.young,,31
6,feature.SpeciesProp.managed.BA,,257
6,feature.SpeciesProp.managed.CW,,258
6,feature.SpeciesProp.managed.DR,,259
6,feature.SpeciesProp.managed.FDC,,260
6,feature.SpeciesProp.managed.HW,,261
6,feature.SpeciesProp.managed.PLC,,262
6,feature.SpeciesProp.managed.SS,,263
6,feature.SpeciesProp.managed.YC,,244
6,feature.StemsPerHa.managed.CWHvm_HW_CW_M,,140
6,feature.Yield.managed.BA,,264
6,feature.Yield.managed.CW,,265
6,feature.Yield.managed.DR,,266
6,feature.Yield.managed.FDC,,267
6,feature.Yield.managed.HW,,268
